model_name,model_path,bleu,rougeL,rouge1,rouge2,sari,avg_jaccard_train_output,error,model_name_old,Sweep ID,Origin Folder,Dataset,Model Size,Metric Type,metric_epoch,metric_loss,metric_rouge1,metric_rouge2,metric_rougeL,metric_rougeLsum,metric_sari,metric_step,config_architectures,config_d_model,config_name_or_path,config_num_heads,config_num_layers,train_eval_batch_size,train_learning_rate,train_lr_scheduler,train_num_epochs,train_optimizer,train_train_batch_size,train_weight_decay,model_path_normalized
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v1/run-9,4.0,,wikilarge,t5-small,SARI,2.0,1.3856148719787598,,,,,51.86149884828553,2326.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0001131445444075,constant_with_warmup,3.0,adamw_torch,64.0,0.051047453594868,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1\run-9
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v2/run-9,5.0,,wikilarge,t5-small,SARI,3.0,1.3718104362487793,,,,,51.83484462269514,3489.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0001302470797249,linear,4.0,adamw_torch,64.0,0.0,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v2\run-9
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v1/run-1,4.0,,wikilarge,t5-small,SARI,3.0,1.374738097190857,,,,,51.8262890867213,3489.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0001007817802175,linear,7.0,adamw_torch,64.0,0.0808558795661662,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1\run-1
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v1/run-4,4.0,,wikilarge,t5-small,SARI,2.0,1.3731030225753784,,,,,51.70774805153149,2326.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0001893316836409,linear,4.0,adamw_torch,64.0,0.0449637523936109,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1\run-4
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v2/run-5,5.0,,wikilarge,t5-small,SARI,2.0,1.4261164665222168,,,,,51.70704238010185,2326.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,5.569844092953822e-05,linear,4.0,adamw_torch,64.0,0.0,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v2\run-5
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v1/run-2,4.0,,wikilarge,t5-small,SARI,2.0,1.3733474016189575,,,,,51.59267257190711,2326.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0001349042293279,constant_with_warmup,2.0,adamw_torch,64.0,0.0042078597964009,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1\run-2
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v2/run-7,5.0,,wikilarge,t5-small,SARI,3.0,1.4747605323791504,,,,,51.57386148471802,3489.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,1.6557639449388355e-05,linear,4.0,adamw_torch,64.0,0.0,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v2\run-7
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v1/run-16,4.0,,wikilarge,t5-small,SARI,1.0,1.3886724710464478,,,,,51.56565788528362,1163.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0002978990893653,constant_with_warmup,6.0,adamw_torch,64.0,0.0291493903591581,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1\run-16
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v1/run-3,4.0,,wikilarge,t5-small,SARI,2.0,1.3750028610229492,,,,,51.56148398153272,2326.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0001555531610955,cosine,5.0,adamw_torch,64.0,0.0737989437146675,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1\run-3
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v1/run-5,4.0,,wikilarge,t5-small,SARI,1.0,1.427282691001892,,,,,51.55763465780362,1163.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0001239052680538,linear,2.0,adamw_torch,64.0,0.0125254985515525,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1\run-5
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v1/run-17,4.0,,wikilarge,t5-small,SARI,1.0,1.4009127616882324,,,,,51.48471959446328,1163.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0001772349774201,constant_with_warmup,3.0,adamw_torch,64.0,0.0508656045702583,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1\run-17
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v1/run-14,4.0,,wikilarge,t5-small,SARI,1.0,1.38891863822937,,,,,51.48245339247628,1163.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0002914520442851,cosine,4.0,adamw_torch,64.0,0.060804034377621,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1\run-14
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v1/run-6,4.0,,wikilarge,t5-small,SARI,1.0,1.4232529401779177,,,,,51.44004163481877,1163.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,0.0001504607414142,linear,2.0,adamw_torch,64.0,0.0951977808622286,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1\run-6
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v2/run-8,5.0,,wikilarge,t5-small,SARI,2.0,1.407503962516785,,,,,51.38900405035504,2326.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,8.330356416278195e-05,linear,4.0,adamw_torch,64.0,0.0,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v2\run-8
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v2/run-4,5.0,,wikilarge,t5-small,SARI,4.0,1.5276367664337158,,,,,51.320607615297206,4652.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,5.903878292135519e-06,linear,4.0,adamw_torch,64.0,0.0,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v2\run-4
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v2/run-2,5.0,,wikilarge,t5-small,SARI,4.0,1.537097454071045,,,,,50.27435695209398,4652.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,5.171488545408038e-06,linear,4.0,adamw_torch,64.0,0.0,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v2\run-2
,,,,,,,,,optuna_sweep_checkpoints_t5_small_simplification_general_v2/run-0,5.0,,wikilarge,t5-small,SARI,4.0,1.5741159915924072,,,,,49.67589753565407,4652.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,64.0,3.0223394838670674e-06,linear,4.0,adamw_torch,64.0,0.0,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v2\run-0
